Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
9435bff7,A,City A,Normal,Male,Home and lifestyle,58.45,1,2.92,61.37,2025-05-20,20:34:25,Cash,58.45,4.76,2.92,5.7
f0288b6c,C,City C,Member,Male,Health and beauty,93.76,2,9.38,196.9,2025-05-15,18:35:55,Cash,187.52,4.76,9.38,5.1
267b26ef,B,City C,Normal,Female,Food and beverages,24.6,3,3.69,77.49,2024-12-20,05:06:46,Credit card,73.8,4.76,3.69,7.9
6a634c37,C,City B,Member,Male,Sports and travel,14.37,6,4.31,90.53,2024-08-03,08:23:21,Credit card,86.22,4.76,4.31,9.9
8927a0e5,A,City A,Normal,Male,Food and beverages,47.14,4,9.43,197.99,2025-01-19,23:56:03,Credit card,188.56,4.76,9.43,6.0
a9b6e98d,B,City C,Member,Female,Home and lifestyle,39.75,8,15.9,333.9,2024-07-31,01:00:19,Ewallet,318.0,4.76,15.9,6.6
2aec75e1,C,City B,Member,Female,Fashion accessories,15.05,5,3.76,79.01,2024-11-20,03:18:59,Cash,75.25,4.76,3.76,4.7
b9e2d848,A,City A,Normal,Female,Electronic accessories,68.95,3,10.34,217.19,2025-03-28,21:48:48,Credit card,206.85,4.76,10.34,9.7
85c71e5a,A,City C,Member,Female,Health and beauty,69.57,10,34.78,730.48,2024-09-13,01:08:50,Cash,695.7,4.76,34.78,6.4
e76841ac,B,City A,Member,Male,Home and lifestyle,57.31,9,25.79,541.58,2024-11-19,07:14:13,Ewallet,515.79,4.76,25.79,4.6
de5c7c8e,A,City A,Normal,Male,Fashion accessories,91.4,8,36.56,767.76,2024-10-12,07:18:27,Credit card,731.2,4.76,36.56,9.3
457b87ce,C,City B,Normal,Male,Sports and travel,28.05,4,5.61,117.81,2024-11-23,02:35:44,Ewallet,112.2,4.76,5.61,5.0
3e4885b3,B,City B,Normal,Male,Fashion accessories,87.16,1,4.36,91.52,2025-04-22,06:32:22,Cash,87.16,4.76,4.36,9.9
c652aa7d,A,City B,Normal,Male,Home and lifestyle,24.0,7,8.4,176.4,2024-07-01,01:01:40,Cash,168.0,4.76,8.4,4.3
ef45d74b,B,City A,Normal,Female,Sports and travel,40.86,10,20.43,429.03,2024-11-14,22:45:25,Cash,408.6,4.76,20.43,6.4
